codice_comune,anno,totale_incidenti
1036,2016,0
1036,2017,1
1036,2018,0
1036,2019,0
1036,2020,0
1036,2021,0
1036,2022,0
1036,2023,0
1037,2001,0
1037,2002,0
1037,2003,0
1037,2004,3
1037,2005,2
1037,2006,0
1037,2007,1
1037,2008,0
1037,2009,3
1037,2010,3
1037,2011,0
1037,2012,1
1037,2013,0
1037,2014,4
1037,2015,0
1037,2016,1
1037,2017,0
1037,2018,0
1037,2019,1
1037,2020,0
1037,2021,0
1037,2022,1
1037,2023,1
1038,2001,18
1038,2002,20
1038,2003,20
1038,2004,8
1038,2005,16
1038,2006,17
1038,2007,17
1038,2008,19
1038,2009,17
1038,2010,16
1038,2011,19
1038,2012,11
1038,2013,15
1038,2014,18
1038,2015,12
1038,2016,10
1038,2017,13
1038,2018,11
1038,2019,5
1038,2020,3
1038,2021,9
1038,2022,8
1038,2023,12
1038,2024,8
1039,2001,2
1039,2002,2
1039,2003,0
1039,2004,0
1039,2005,2
1039,2006,3
1039,2007,2
1039,2008,3
1039,2009,4
1039,2010,5
1039,2011,4
1039,2012,4
1039,2013,2
1039,2014,1
1039,2015,0
1039,2016,1
1039,2017,3
1039,2018,3
1039,2019,2
1039,2020,0
1039,2021,1
1039,2022,3
1039,2023,0
1039,2024,2
1040,2001,4
1040,2002,4
1040,2003,4
1040,2004,1
1040,2005,3
1040,2006,2
1040,2007,1
1040,2008,2
1040,2009,2
1040,2010,0
1040,2011,2
1040,2012,3
1040,2013,6
1040,2014,2
1040,2015,1
1040,2016,4
1040,2017,2
1040,2018,4
1040,2019,4
1040,2020,3
1040,2021,2
1040,2022,3
1040,2023,4
1040,2024,2
1041,2001,9
1041,2002,3
1041,2003,8
1041,2004,6
1041,2005,4
1041,2006,3
1041,2007,4
1041,2008,2
1041,2009,3
1041,2010,3
1041,2011,2
1041,2012,3
1041,2013,2
1041,2014,5
1041,2015,3
1041,2016,2
1041,2017,3
1041,2018,2
1041,2019,3
1041,2020,2
1041,2021,1
1041,2022,6
1041,2023,3
1041,2024,4
1042,2001,1
1042,2002,2
1042,2003,3
1042,2004,3
1042,2005,1
1042,2006,7
1042,2007,4
1042,2008,1
1042,2009,2
1042,2010,1
1042,2011,2
1042,2012,2
1042,2013,0
1042,2014,2
1042,2015,1
1042,2016,1
1042,2017,1
1042,2018,3
1042,2019,1
1042,2020,1
1042,2021,1
1042,2022,2
1042,2023,0
1043,2001,0
1043,2002,1
1043,2003,1
1043,2004,2
1043,2005,2
1043,2006,2
1043,2007,1
1043,2008,0
1043,2009,7
1043,2010,3
1043,2011,9
1043,2012,5
1043,2013,3
1043,2014,3
1043,2015,1
1043,2016,1
1043,2017,4
1043,2018,6
1043,2019,6
1043,2020,1
1043,2021,4
1043,2022,4
1043,2023,3
1043,2024,2
1044,2001,16
1044,2002,11
1044,2003,9
1044,2004,14
1044,2005,7
1044,2006,12
1044,2007,8
1044,2008,9
1044,2009,9
1044,2010,5
1044,2011,10
1044,2012,9
1044,2013,7
1044,2014,6
1044,2015,13
1044,2016,3
1044,2017,9
1044,2018,7
1044,2019,17
1044,2020,11
1044,2021,3
1044,2022,4
1044,2023,13
1044,2024,9
1045,2001,10
1045,2002,10
1045,2003,3
1045,2004,4
1045,2005,7
1045,2006,6
1045,2007,4
1045,2008,7
1045,2009,9
1045,2010,10
1045,2011,9
1045,2012,7
1045,2013,5
1045,2014,12
1045,2015,5
1045,2016,3
1045,2017,0
1045,2018,1
1045,2019,2
1045,2020,2
1045,2021,1
1045,2022,2
1045,2023,3
1045,2024,3
1046,2001,2
1046,2002,1
1046,2003,0
1046,2004,2
1046,2005,3
1046,2006,1
1046,2007,3
1046,2008,0
1046,2009,5
1046,2010,3
1046,2011,3
1046,2012,11
1046,2013,14
1046,2014,3
1046,2015,7
1046,2016,10
1046,2017,11
1046,2018,10
1046,2019,6
1046,2020,7
1046,2021,4
1046,2022,8
1046,2023,8
1046,2024,4
1047,2001,5
1047,2002,3
1047,2003,2
1047,2004,15
1047,2005,11
1047,2006,5
1047,2007,5
1047,2008,18
1047,2009,17
1047,2010,22
1047,2011,19
1047,2012,12
1047,2013,11
1047,2014,14
1047,2015,7
1047,2016,8
1047,2017,10
1047,2018,13
1047,2019,12
1047,2020,9
1047,2021,13
1047,2022,11
